id,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
tt0212338,Meet the Parents,2000,PG-13,1h 48min,Comedy; Romance; ,6 October 2000 (USA),7.0,304804,517,https://www.imdb.com/title/tt0212338/reviews/_ajax?ref_=undefined&paginationKey=
tt2322441,Fifty Shades of Grey,2015,R,2h 5min,Romance; ,13 February 2015 (USA),4.1,291846,1543,https://www.imdb.com/title/tt2322441/reviews/_ajax?ref_=undefined&paginationKey=
tt0386588,Hitch,2005,PG-13,1h 58min,Comedy; Romance; ,11 February 2005 (USA),6.6,290474,410,https://www.imdb.com/title/tt0386588/reviews/_ajax?ref_=undefined&paginationKey=
tt0147800,10 Things I Hate About You,1999,PG-13,1h 37min,Comedy; Romance; ,31 March 1999 (USA),7.3,287665,616,https://www.imdb.com/title/tt0147800/reviews/_ajax?ref_=undefined&paginationKey=
tt1041829,The Proposal,2009,PG-13,1h 48min,Comedy; Romance; ,19 June 2009 (USA),6.7,287564,330,https://www.imdb.com/title/tt1041829/reviews/_ajax?ref_=undefined&paginationKey=
tt0129387,There's Something About Mary,1998,R,1h 59min,Comedy; Romance; ,15 July 1998 (USA),7.1,284962,649,https://www.imdb.com/title/tt0129387/reviews/_ajax?ref_=undefined&paginationKey=
tt0031381,Gone with the Wind,1939,Passed,3h 58min,Romance; ,17 January 1940 (USA),8.1,281474,870,https://www.imdb.com/title/tt0031381/reviews/_ajax?ref_=undefined&paginationKey=
tt0100405,Pretty Woman,1990,R,1h 59min,Comedy; Romance; ,23 March 1990 (USA),7.0,279357,334,https://www.imdb.com/title/tt0100405/reviews/_ajax?ref_=undefined&paginationKey=
tt1981677,Pitch Perfect,2012,PG-13,1h 52min,Comedy; Romance; ,5 October 2012 (USA),7.2,269450,316,https://www.imdb.com/title/tt1981677/reviews/_ajax?ref_=undefined&paginationKey=
tt0119822,As Good as It Gets,1997,PG-13,2h 19min,Comedy; Romance; ,25 December 1997 (USA),7.7,268396,539,https://www.imdb.com/title/tt0119822/reviews/_ajax?ref_=undefined&paginationKey=
tt0125439,Notting Hill,1999,PG-13,2h 4min,Comedy; Romance; ,28 May 1999 (USA),7.1,263330,669,https://www.imdb.com/title/tt0125439/reviews/_ajax?ref_=undefined&paginationKey=
