,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
3982,201918535,2020-12-10,700,19,Mission,354,THEFT OF IDENTITY,19,M,13200    DE FOE                       AV,34.3104,-118.4584
3983,202009658,2020-05-12,1030,20,Olympic,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,F,WILSHIRE,34.0618,-118.2916
3984,200404211,2020-01-05,2130,4,Hollenbeck,330,BURGLARY FROM VEHICLE,63,M,2300    LILLYVALE                    AV,34.072,-118.1643
3985,201010736,2020-05-30,1727,10,West Valley,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",36,F,6600    VANALDEN                     AV,34.1902,-118.5491
3986,201206663,2020-02-07,1645,12,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,F,MANCHESTER,33.96,-118.309
3987,202008221,2020-03-31,1550,20,Olympic,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,M,1500 S  WILTON                       PL,34.0454,-118.3145
3988,201215887,2020-07-04,1100,12,77th Street,350,"THEFT, PERSON",37,F,75TH                         ST,33.9717,-118.2871
3989,201104160,2020-01-04,2115,11,Northeast,330,BURGLARY FROM VEHICLE,24,M,2800 E  OBSERVATORY                  RD,34.1192,-118.3004
3990,201812143,2020-06-04,1615,18,Southeast,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,M,200 W  88TH                         ST,33.9572,-118.2761
3991,200710642,2020-06-07,300,7,Wilshire,330,BURGLARY FROM VEHICLE,41,F,1000 S  LONGWOOD                     AV,34.0571,-118.3384
3992,200811353,2020-06-28,2200,8,West LA,480,BIKE - STOLEN,29,M,1600    CAMDEN                       AV,34.0487,-118.4426
3993,200709080,2020-05-09,1100,7,Wilshire,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,23,F,1600    ELLSMERE                     AV,34.0445,-118.3623
3994,200604182,2020-01-05,1,6,Hollywood,624,BATTERY - SIMPLE ASSAULT,31,M,1300 N  WILCOX                       AV,34.0944,-118.331
3995,201512468,2020-06-28,1000,15,N Hollywood,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,10900    WHIPPLE                      ST,34.1481,-118.3673
3996,200909850,2020-05-15,1200,9,Van Nuys,330,BURGLARY FROM VEHICLE,25,M,4700 N  SEPULVEDA                    BL,34.156,-118.4662
3997,210809694,2020-04-15,1820,8,West LA,354,THEFT OF IDENTITY,28,M,1400 S  CANFIELD                     AV,34.0548,-118.3894
3998,200409340,2020-05-27,1230,4,Hollenbeck,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,2000    BARNETT                      RD,34.0664,-118.1722
3999,200406042,2020-02-22,245,4,Hollenbeck,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),45,M,3200    PASADENA                     AV,34.0806,-118.2176
4000,200116190,2020-08-11,130,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,100 N  LOS ANGELES                  ST,34.0515,-118.2424
4001,200613040,2020-07-24,2100,6,Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,1600    VINE                         ST,34.0987,-118.3337
4002,201600575,2020-02-20,2115,16,Foothill,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,M,12700    LOUVRE                       ST,34.2806,-118.4108
4003,201605502,2020-02-04,1800,16,Foothill,330,BURGLARY FROM VEHICLE,54,M,OSBORNE,34.2632,-118.4022
4004,200207210,2020-01-07,1200,2,Rampart,354,THEFT OF IDENTITY,41,F,1300    INGRAHAM                     ST,34.0531,-118.2671
