,rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
71,m/10007415-amazing_grace,Amazing Grace,"In 18th-century England, House of Commons member William Wilberforce (Ioan Gruffudd) and his close friend and a future prime minister, William Pitt (Benedict Cumberbatch), begin a lengthy battle to abolish Great Britain's slave trade. Though Wilberforce's legislation is soundly defeated in 1791, his growing affection for Barbara Spooner (Romola Garai) inspires him to take up the fight once more.","Amazing Grace is your quintessential historical biopic: stately, noble, and with plenty of electrifying performances.",PG,"Drama, Mystery & Suspense",Michael Apted,Steven Knight,"Ioan Gruffudd, Romola Garai, Michael Gambon, Benedict Cumberbatch, Albert Finney, Youssou N'Dour, Rufus Sewell, Ciarán Hinds, Toby Jones, Nicholas Farrell, Sylvestra Le Touzel, Jeremy Swift, Stephen Campbell Moore, Bill Paterson, Ramola Garai, Tom Fisher, Nicholas Woodeson, Richard Ridings, Adam Woodroffe, Neville Phillips, Eki Maria, Daniel Naprous, Joseph Traynor, Harry Audley, Simon Delaney, Chris Barnes, Tom Knight, Peter White, Nicholas Day, Georgie Glen, David Hunt, David Toole, Andrew Neil, Angie Wallis, Estelle Morgan, Philip Dunbar, Alex Blake, Andrew Whipp, Nicolas Dodd",2007-02-23,2015-11-25,116.0,Samuel Goldwyn Films LLC,Fresh,67.0,126.0,Upright,85.0,54320.0,37,85,41
72,m/10007538-silence,The Silence,Photographs of a murdered woman (Ellouise Rothwell) from the 1960s prompts a cop (Richard Roxburgh) to reopen the case.,,R,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,,"Richard Roxburgh, Essie Davis, Alice McConnell, Emily Barclay, Damian De Montemas, Jennifer Hagan, Joel Tobeck, Olivia Stambouliah, Skye Wansey, Tony Barry, Toni Barry",,2016-11-18,104.0,,Rotten,50.0,6.0,Spilled,38.0,374.0,4,3,3
73,m/10007598-cocaine_cowboys,Cocaine Cowboys,"Filmmaker Billy Corben recalls Miami drug wars of the 1970s and '80s, when Colombian drug lords turned the relatively quiet Florida city into a breeding ground for violence and excess. Corben interviews so-called ""survivors"" of the era, including dealers, smugglers and hit men.","As frenetic, thrilling, and lacking in subtletly as its drug of focus...and just as likely to prompt some hard questions after it's gone.",R,Documentary,Billy Corben,,"Jon Roberts, Mickey Munday, Jorge ""Rivi"" Ayala, Dr. Joseph Davis, Sgt. Al Singleton",2006-10-27,2016-08-10,116.0,Magnolia Pictures,Fresh,69.0,51.0,Upright,79.0,77110.0,25,35,16
74,m/10007614-gone,Gone,A British tourist (Shaun Evans) grows suspicious of a mysterious American's (Scott Mechlowicz) motive for joining him and his fiancee on a trip through the Australian Outback.,,R,"Horror, Mystery & Suspense",Ringan Ledwidge,"James Watkins, Andrew Upton","Scott Mechlowicz, Tony Barry, Amelia Warner, Shaun Evans, Victoria Thaine, Zoe Tuckwell-Smith, Yvonne Strahovski, Yvonne Strzechowski, Zander Hey",2007-03-09,2014-02-12,88.0,United International,Rotten,54.0,13.0,Spilled,20.0,3329.0,4,7,6
75,m/10007714-situation,The Situation,"Anna (Connie Nielsen) is an American journalist who's falling in love with Iraqi photographer Zaid (Mido Hamada) against the backdrop of the war in Iraq. She's also ending a secret affair with Dan (Damian Lewis), an intelligence officer in Baghdad. The dangers of wartime Iraq heighten everyone's emotions, and the love triangle creates further stress when one of Anna's friends is killed, and Anna is kidnapped. Zaid and Dan must get together to rescue Anna before it's too late.",An ambitious but preachy drama that fails to convincingly parcel its thriller and romance elements.,R,"Drama, Mystery & Suspense",Philip Haas,Wendell Steavenson,"Connie Nielsen, Damian Lewis, Mido Hamada, Driss Roukhe, John Stattery, Nasser Memarzia, Said Amadis, Omar Berdouni, Chérine Amar, Shaun Evans, Tom McCarthy, Mahmoudi M'Barek, Mahmoud El Lozy, John Slattery, Peter Eyre, Fatiha Watili, Hamid Basket",2006-10-18,2007-07-31,106.0,Shadow Distribution,Rotten,35.0,48.0,Spilled,58.0,2381.0,25,17,31
76,m/10007821-snow_blind,Snow Blind,The culture and spirit of climbers and the mountains they ascend.,,NR,"Documentary, Sports & Fitness",Christopher J. Scott,,"Lindsey Jacobellis, Lindsey Jacobellis, Molly Aguirre, Sherman Poppen, Jeff Meyer, Bibian Mentel, Steve Hayes, Jesse Horn, Jeff Meyer, Banana George, JJ Thomas, Steve Fisher, Ross Powers, Abe Teter, Lucas Grossi, Tyler Mosher, Keir Dillon, Steve Fisher, Elijah Teter, Hannah Teter, Luke Mitrani",2006-12-01,2017-05-22,105.0,Matson Films,Rotten,20.0,5.0,,,,4,1,4
77,m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,His father's suicide prompts a young American Indian (Cody Lightning) to leave the reservation and explore the world outside.,,R,"Art House & International, Drama",Sterlin Harjo,Sterlin Harjo,"Cody Lightning, Jeri Arredondo, Tamara Podemski, Laura Bailey, Richard Ray Whitman, Jon Proudstar, Darryl Cox, Mark Loftis, Bill Poague, Jim Kirkland, Mike Randleman, Christian Kane, Mary Neff",2007-01-22,2016-07-09,81.0,First Look Home Entertainment,Fresh,100.0,7.0,Upright,61.0,519.0,2,7,0
78,m/10007886-the_tigers_tail,The Tiger's Tail,"Liam O'Leary (Brendan Gleeson) is a prosperous real estate tycoon who lives in Dublin with his wife, Jane (Kim Cattrall). Hoping to bring his profits and his career to new heights, Liam takes out a large bank loan with the prospect of building a new stadium. But, when his request for development is turned down by the city, his life stumbles into a downward spiral. More disturbing than his crippled assets is his mysterious double whom he keeps seeing around town.",,R,"Comedy, Drama, Mystery & Suspense",John Boorman,John Boorman,"Brendan Gleeson, Kim Cattrall, Ciarán Hinds, Ciarin Hinds, Sinead Cusack, John Kavanagh, Ruth McCabe, Sean McGinley, Cathy Belton, Brian Gleeson, Angeline Ball, Stanley Townsend, Moira Deady, Michael McElhatton, Michael Fitzgerald, Denis Conway, Charlene McKenna, Tom Vaughan-Lawlor, Ruth Lawlor, Eanna MacLiam, Conor Mullen, Regan O'Brien, Derry Power, Ned Dennehy, Gary Murphy, David Herlihy, Martin Murphy, Mark Lambert, Philip O'Sullivan, Paolo Tullio, Aonghus Og McAnally, Nigel Linden, Geoff Minogue, Frank Gleeson, Mark Armstrong",2006-09-26,2016-07-20,106.0,Buena Vista,Rotten,14.0,21.0,Spilled,30.0,660.0,5,3,18
79,m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,"Pretty teen girl Nell (Samaire Armstrong) is extremely bookish and can't wait to move on to higher education, while her dim-witted neighbor and classmate, Woody (Kevin Zegers), wants nothing more than to play football. When a class trip to a museum places Nell and Woody under an ancient Incan spell, the two awake the next day to find that they've switched bodies. As they cope with their bizarre situation, Nell and Woody realize that they must discover a way to reverse the spell.",,PG-13,"Comedy, Romance",Nick Hurran,Geoff Deane,"Samaire Armstrong, Kevin Zegers, Emily Hampshire, John Bregar, Brandon Carrera, Brooke D'Orsay, Mpho Koaho, Sharon Osbourne, Sherry Miller, Robert Joy, Maury Chaykin, Dan Warry-Smith, Balazs Koos, Kathryn Haggis, Genelle Williams, Jack Duffy, Alex Nussbaum, Roman Podhora, David Ndaba, Robert James Ramsey, Michael Lazarovitch, Adrian Roberto, Justin Tensen, Shane Daly, Jennifer Markowitz, Snow Ellen-Ray, Richard Fitzpatrick, Kevin Zegars, Christian Henson",2006-12-26,2016-11-30,95.0,Anchor Bay Entertainment,Fresh,67.0,9.0,Upright,61.0,30371.0,0,6,3
80,m/10007898-slipstream,Slipstream,"An aging man, Felix Bonhoeffer (Anthony Hopkins), finds that the characters in a murder mystery, which he is writing as a screenplay, are invading his life. Although it astounds him that the real world and the play are merging, he fails to realize that he is losing his mind.",Slipstream is a failed experiment; confusing instead of coherent.,R,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,Anthony Hopkins,"Anthony Hopkins, Gavin Grazer, Stella Arroyave, Christian Slater, John Turturro, Camryn Manheim, Michael Clarke Duncan, Kevin McCarthy, Jeffrey Tambor, S. Epatha Merkerson, Gene Borkan, Fionnula Flanagan, Lisa Pepper, Christopher Lawford, Gena Rowlands, William Lucking, Lana Antonova, Aaron Tucker, Michael Lerner",2007-10-26,2012-04-16,97.0,Strand Releasing,Rotten,25.0,40.0,Spilled,29.0,3523.0,14,10,30
81,m/10007902-delirious,Delirious,"Desperate to make it big as a photographer, Les (Steve Buscemi) befriends Toby (Michael Pitt), a young actor with no direction, who romances a pop star.","A funny, energetic satire of the paparazzi life and the entertainment industry, Delirious is another winner for indie helmer Tom DiCillo.",NR,"Comedy, Drama",Tom DiCillo,Tom DiCillo,"Steve Buscemi, Michael Pitt, Alison Lohman, Gina Gershon, Callie Thorne, Kevin Corrigan, Elvis Costello, Richard Short, Tom Aldredge, Peter Appel, Doris Belack, Lynn Cohen, Marcus Collins, Joe D'Onofrio, Minnie Driver",2007-08-15,2020-10-13,107.0,Peace Arch Films,Certified-Fresh,83.0,63.0,Spilled,57.0,8464.0,25,52,11
82,m/10007916_interview,Interview,"Pierre Peders (Steve Buscemi), a political reporter, receives an unwelcome assignment from his editor: Write a puff piece on Katya (Sienna Miller), a sexy starlet whose love life provides plentiful tabloid fodder. The pair manage to alienate each other within minutes, then Pierre is injured in an accident, and Katya brings him back to her apartment. An unusual encounter unfolds for the jaded journalist and the woman who may not be as stupid as she seems.",Captivating performances from Steve Buscemi and Sienna Miller make a seemingly simple premise gripping and entertaining.,R,"Art House & International, Drama",Steve Buscemi,"Steve Buscemi, David Schechter","Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders, David Schecter, Molly Griffith",2007-07-13,2012-04-16,84.0,Sony Classics,Rotten,58.0,125.0,Spilled,55.0,25860.0,44,72,53
83,m/1000792-american_anthem,American Anthem,"Two gymnasts (Mitch Gaylord, Janet Jones) fall in love and train hard in Arizona for stiff competition in a world-class meet.",,PG-13,"Action & Adventure, Documentary, Drama",Albert Magnoli,"Evan Archerd, Albert Magnoli, Jeff Benjamin","Mitch Gaylord, Janet Jones, John Aprea, Michelle Phillips, Tiny Wells, Michael Pataki, Patrice Donnelly, R.J. Williams, Katherine Gosney, Stacy Maloney, Peter Tramm, Rosemary Forsyth, Googy Gress, Maria Anz, Jenny Ester, Andrew M. White, Popeye the Dog, Dick McGarvin, Mark Oates, Jan Claire, Megan Marsden, Li Yuejiu, Bruce Burns, Lisa Marie Campos, Bob Gauthier, Lisa Green, Chris Riser, Lyn Schmitt, Kent Weaver, Stephen Elliott, Tim Darling, Jody Raymond, Matt Arnot, Scott Barclay, Jeff Richards, Mike Bowers, Tony Russo, Phillippe Chartrand, Mike Sims, Glen Cooper, John Eccelston, Mark Ewers, Brett Finch, Doug Foerch, Steve Friedman, Rick Hall, Paul Hartman, Celeste Kelty, Tom Kennedy, Jeff Knepper, John Levy, Wes Lewis",1986-06-01,2013-12-03,102.0,Lorimar Home Video,Rotten,0.0,16.0,Upright,65.0,1341.0,6,0,16
84,m/10007947-ten,The Ten,"A series of interweaving vignettes spoof the Ten Commandments. In one story, a skydiver (Adam Brody) forgets to pack his parachute. When he lands, he doesn't die, but gets stuck in the ground, causing a media circus and jeopardizing his relationship with his girlfriend, Kelly (Winona Ryder). Later, Kelly begins a tumultuous relationship with a ventriloquist's dummy. In another story, a doctor (Ken Marino) obsessed with pranks accidentally kills a patient and winds up in jail.","Although a few of the sketches that make up The Ten are humorous, the uneven and random tone of the film cause it to fall apart.",R,Comedy,David Wain,"Ken Marino, David Wain","Paul Rudd, Gretchen Mol, Adam Brody, Famke Janssen, Winona Ryder, Oliver Platt, Jessica Alba, Liev Schreiber, Justin Theroux, Ron Silver, Thomas Lennon, Ken Marino, A.D. Miles, Rob Corddry, David Wain, Joe Lo Truglio, Janeane Garofalo, Todd Holoubek, Mather Zickel, Michael Ziegfield, Ali Marsh, Jason Sudeikis, Edmond Genest, Jon Hamm, Cedric Sanders, H. Jon Benjamin, Arlen Escarpeta, Bobby Cannavale, Rashida Jones, Robert Ben Garant, Andrew Dawson, John Patrick Barry, Zandy Hartig, Michael Ian Black, Michael Showalter, John Tormey, Charlie McDermott, Joe Passaro, Jerry Grayson, Zak Orth, Reed Birney, Jason Antoon",2007-01-18,2016-02-26,99.0,ThinkFilm,Rotten,35.0,82.0,Spilled,40.0,77951.0,28,29,53
85,m/10007985-happening,The Happening,"An apocalyptic threat to humanity arrives out of the clear blue sky with a series of violent, inexplicable deaths spreading across the country. The cause of the terrifying phenomenon remains unknown, prompting science teacher Elliot Moore (Mark Wahlberg), his wife Alma (Zooey Deschanel) and his colleague Julian (John Alberto Leguizamo) to try to elude the invisible killer in Pennsylvania's farmland. Soon it becomes clear that no one is safe.","The Happening begins with promise, but unfortunately descends into an incoherent and unconvincing trifle.",R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley, Spencer Breslin, Robert Bailey Jr., Frank Collison, Jeremy Strong, Alan Ruck, Victoria Clark, M. Night Shyamalan, Robert Lenzi, Alison Folland, Kristen Connolly, Cornell Womack, Curtis L. McClarin, Derege Harding, Kerry O'Malley, Shayna Levine, Stéphane Debac, Cyrille Thouvenin, Babita Hariani, Alicia Taylor, Edward James Hyland, Armand Schultz, Stephen Singer, Sophia Burke, Alex Van Kooy, Charlie Saxton, Kathy Hart, Lisa Gunn, Rick Foster, Marc H. Glick, Don Castro, Bill Chemerka, Jann Ellis, Jan Ellis, Whitney Sugarman, Mary Ellen Driscoll, Greg Wood, Peter Appel, Eoin O'Shea, Michael Quinlan, Lyman Chen, Brian O'Halloran, Megan Mazaika, Richard Chew, Keith E. Bullard, Joel de la Fuente, Ashley Brimfield, Mara Hobel, James ""Jimbo"" Breen, James Breen, Carmen Bitonti, Brian Anthony Wilson, Greg Smith Aldridge, Ukee Washington, John Ottavino, Sid Doherty, Wes Heywood, Nancy Sokerka, Julia Yorks, Bill Shusta, Kirk Penberthy, Alex Craft, Allie Habberstad, Tony Devon",2008-06-11,2015-11-25,89.0,20th Century Fox,Rotten,17.0,183.0,Spilled,24.0,370222.0,42,32,151
86,m/10008005-moliere,Molière,"In 17th-century France, playwright and actor Molière (Romain Duris) has his debts paid off by Monsieur Jourdain (Fabrice Luchini), freeing him from debtors prison. In return, Jourdain asks for acting lessons so he can win the heart of the beautiful widow Célimène (Ludivine Sagnier) by performing a short play for her. Presented to Jourdain's family as the priest Tartuffe, Molière begins to fall in love with Monsieur Jourdain's disregarded wife, Elmire (Laura Morante).","Moliere is a sophisticated, witty biopic of the great satirist.",PG-13,Comedy,"Laurent Tirard, Laurent Sivot","Laurent Tirard, Grégoire Vigneron, Fanny Valette, Jean-Claude Jay","Romain Duris, Édouard Baer, Fabrice Luchini, Laura Morante, Ludivine Sagnier, Fanny Valette, Gilian Petrovski, Sophie-Charlotte Husson, Melanie Dos Santos, Gonzague Montuel, Arié Elmaleh, Eric Berger, Gilian Petrovsky, Anne Suarez, Annelise Hesme, Luc Tremblais, Nicolas Vaude, Philippe Du Janerand, Isabelle Caubère, Pierre Laplace, Wilfred Benaiche, François Civil, Jean-Michel Lahmi, Marie Gili-Pierre, Francis Van Litsenborgh, Yves Robin, François Toumarkine, Isabelle Vitari, Antoine Blanquefort, Caroline Gillain, Daphné de Quatrebarbes, Jean-Claude Jay",2007-07-27,2014-03-09,120.0,Sony Pictures Classics,Fresh,69.0,89.0,Upright,79.0,10937.0,32,61,28
87,m/10008126-straightheads,Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.",,R,"Drama, Mystery & Suspense",Dan Reed,,"Gillian Anderson, Danny Dyer, Anthony Calf, Ralph Brown, Steven Robertson, Francesca Fowler, Adam Rayner, Anthony Byrne, Gugu Mbatha-Raw, Neil Finnighan",2007-04-27,2012-05-01,88.0,Sony Pictures Entertainment,Rotten,40.0,20.0,Spilled,32.0,4645.0,7,8,12
88,m/10008140-borderland,Borderland,"Ed (Brian Presley), Henry (Jake Muxworthy) and Phil (Rider Strong) are three American college graduates in search of wild times in Mexico. After a night of partying with two local women, Ed and Henry realize that Phil is missing. Joining forces with an ex-cop, their search for their friend leads them to a horrifying encounter with cultists who practice human sacrifice.",,R,"Drama, Horror, Mystery & Suspense",Zev Berman,"Zev Berman, Eric Poppen","Brian Presley, Martha Higareda, Jake Muxworthy, Rider Strong, Damián Alcázar, Sean Astin, Marco Bacuzzi, Marco Bascuzzi, Roberto Sosa, Humberto Busto, Francesca Guillen, Beto Cuevas, Elizabeth Cervantes, Jose María Yazpik, Alenka Ríos, Kathryn Tamblyn",2007-11-09,2016-08-10,104.0,After Dark Films,Fresh,100.0,8.0,Spilled,43.0,4194.0,0,8,0
89,m/10008200-spiral,Spiral,"A shy man with emotional problems befriends a co-worker whose love could give him a normal life, if he can overcome his dark past.",,PG-13,"Drama, Mystery & Suspense","Adam Green, Joel David Moore","Joel David Moore, Jeremy Danial Boreing","Joel David Moore, Amber Tamblyn, Zachary Levi, Tricia Helfer, David Müller, Annie Neal, Arlene Ancheta, Jeremy Danial Boreing",2007-01-27,2017-08-13,90.0,Anchor Bay Entertainment,Rotten,55.0,11.0,Spilled,59.0,9001.0,1,6,5
90,m/10008234-alexandra,Alexandra,"Elderly Aleksandra (Galina Vishnevskaya) visits her Russian soldier grandson, Denis (Vasily Shevtsov), at the Chechen war front, providing comfort as she tours his army base. While there, Aleksandra surprises everyone by climbing into an armored vehicle and brandishing a Kalashnikov rifle. Afterward, venturing outside, she meets a Chechen woman in town who bemoans the number of occupying troops, then has other adventures. All the while, Denis ponders the reason for her unexpected appearance.","At once ethereal and tangible, Aleksandr Sokurov's humane Chechen War drama features a spectacular turn by opera star Galina Vishnevskay.",NR,Drama,Aleksandr Sokurov,Aleksandr Sokurov,"Galina Vishnevskaya, Vasily Shetvtsov, Vasily Shevtsov, Raisa Gichaeva, Evgeni Tkachuk, Alexander Kladko, Andrei Bogdanov, Rustam Shakhgireyev, Alexei Nejmyshev, Alexander Aleshkin, Alexander Peredkov, Alexander Udaltsov, Maxim Fomin, Konstantin Gaiduk, Sergei Makarov, Valentin Kuznetsov, Vladimir Studenovsky, Sergei Lobsev, Zulai Aidomirov, Aset Murtazalieva, Violetta Solodyagina, Sultan Dokaev",2007-05-25,2015-02-11,95.0,The Cinema Guild,Certified-Fresh,88.0,59.0,Upright,69.0,1333.0,24,52,7
91,m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,"Officials, religious leaders and other citizens explore the unresolved feud between their peoples.",,PG-13,Documentary,Isidore Rosmarin,"Isidore Rosmarin, Jeff Helmreich","Akbar Ahmed, Eve Harow, Saeb Erekat, Izzeldin Abuelaish, Benjamin Netanyahu, Ehud Barak, Shimon Peres, Yossi Klein Haveil, Renee Yakira, Ameed Al Masri, Sari Nusseibeh, Abdel Aziz al-Rantisi, Joseph Farah, Rashid Khalidi, Bernard Lewis, Michael Oren, Khalil Shikaki, Fouad Ajami, Alan M. Dershowitz",2007-06-15,2007-08-28,73.0,ThinkFilm,Rotten,50.0,6.0,Spilled,33.0,1719.0,2,3,3
92,m/10008423-cool_school,The Cool School,Several artists try to make modern art more popular in Los Angeles.,"A breezy and lively modern art documentary, revealing that LA is not a cultural wasteland when it comes to fine art.",NR,"Documentary, Musical & Performing Arts",Morgan Neville,"Kristine Mckenna, Morgan Neville","John Baldessari, Jeff Bridges, Dennis Hopper, Robert Irwin, Edward Ruscha, Dean Stockwell, David LaFaille, Peter Plagens, Ed Bereal, William Claxton, Irving Blum, Billy Al Bengston, Eddie Moses, Larry Bell, Walter Hopps, Ed Kienholz, Ken Price",2008-03-07,2017-03-18,86.0,Arthouse Films,Fresh,92.0,26.0,Upright,63.0,514.0,12,24,2
93,m/10008496-pathology,Pathology,"Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death.",,R,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann","Brian Taylor, Mark Neveldine","Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith, Johnny Whitworth, John De Lancie, Mei Melançon, Mei Melançon, Keir O'Donnell, Buddy Lewis, Dan Callahan, Larry Drake",2008-04-18,2017-01-17,93.0,MGM,Rotten,45.0,22.0,Spilled,39.0,49454.0,6,10,12
94,m/10008502-christmas_carol,Disney's A Christmas Carol,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.","Robert Zemeckis' 3-D animated take on the Dickens classic tries hard, but its dazzling special effects distract from an array of fine performances from Jim Carrey and Gary Oldman.",PG,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,Robert Zemeckis,"Colin Firth, Leslie Zemeckis, Cary Elwes, Robin Wright, Jacquie Barnbrook, Lesley Manville, Molly Quinn, Fay Masterson, Daryl Sabara, Ryan Ochoa, Sammi Hanratty, Fionnula Flanagan, Callum Blue, Raymond Ochoa, Steve Valentine, Julian Holloway, Matthew Henerson, Kerry Hoyt, Julene Renee, Sonje Fortag, Paul Blackthorne, Michael Hyland, Ryan Sage, Amber Gainey Meade, Bobbi Page, Ron Bottitta, Aaron Rapke, Alan Silvestri, Jim Carrey, Gary Oldman, Bob Hoskins",2009-11-06,2015-11-23,95.0,Walt Disney Studios,Rotten,52.0,201.0,Spilled,58.0,776189.0,47,105,96
95,m/10008507-deep_water,Deep Water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion.","Equal parts mystery and biography, Deep Water is both an engrossing documentary and an affecting treatise on human folly and obsession.",PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell","Louise Osmond, Jerry Rothwell","Tilda Swinton, Donald Crowhurst, Santiago Franchessie, Ted Hynds, Jean Badin",2006-09-03,2017-04-04,93.0,IFC Films,Certified-Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2
96,m/10008562-road_to_victory,Road to Victory,A young football player (Mike Reilly) faces mounting pressure.,,NR,"Art House & International, Drama, Sports & Fitness",Mike Reilly,Mike Reilly,"Mike Reilly, Julia Anderson, Winston Brown, Peter Abrams, Poppi Reiner",2007-03-18,2016-07-11,99.0,Vanguard,Fresh,78.0,9.0,Upright,78.0,89.0,0,7,2
97,m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,"Chloe (Drew Barrymore), a pampered Chihuahua from Beverly Hills, gets an unwelcome taste of the real world when she gets lost in a tough part of Mexico. With no Rodeo Drive boutiques in sight, she is out of her element, until scrappy street dogs Delgado and Papi lend her a paw, helping her find her way home.","Despite hitting some sweet notes, Beverly Hills Chihuahua is little more than disposable family entertainment.",PG,Comedy,Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell","Drew Barrymore, Andy Garcia, Jamie Lee Curtis, George Lopez, Cheech Marin, Manolo Cardona, Piper Perabo, Plácido Domingo, Paul Rodriguez, Luis Guzman, Loretta Devine, Edward James Olmos, Michael Urie, Eddie 'Piolín' Sotelo, Maury Sterling, Jose María Yazpik, Jesús Ochoa, Eugenio Derbez",2008-09-30,2015-12-13,91.0,Walt Disney Pictures,Rotten,40.0,99.0,Spilled,52.0,186570.0,29,40,59
98,m/10008601-fireflies_in_the_garden,Fireflies in the Garden,"Successful novelist Michael (Ryan Reynolds) visits his family in the Midwest, only to learn that his mother, Lisa (Julia Roberts), has died in a tragic accident. Along with his father, Charles (Willem Dafoe), a college professor, and his sister, Ryne (Shannon Lucio), Michael attempts to come to terms with his grief. Lisa's absence revives many old wounds, however, and the emerging tensions threaten to destroy the family just as they make an effort to come together and mourn.","Despite boasting a stellar cast, Fireflies in the Garden is just tedious, dull and predictable melodrama. Instantly forgettable.",R,Drama,Dennis Lee (III),Dennis Lee (III),"Emily Watson, Julia Roberts, Ryan Reynolds, Willem Dafoe, Carrie-Anne Moss, Hayden Panettiere, Cayden Boyd, Frank Ertl, George Newbern, Ioan Gruffudd, Chase Ellison, Diane Perella, Grady McCardell, Philip Rose, Brooklynn Proulx, Babs George, Rev. John Stennfield, Natalie Karp, Shannon Lucio",2011-10-14,2014-01-09,98.0,Senator Entertainment,Rotten,22.0,54.0,Spilled,45.0,45155.0,23,12,42
99,m/10008606-eye,The Eye,"Blind for most of her life, concert violinist Sydney Wells (Jessica Alba) is the recipient of a double corneal transplant that restores her sight at long last. With the help of her doctor (Alessandro Nivola) and sister (Parker Posey), she learns to see again. Soon, however, frightening visions convince her that a terrifying alternate world exists, and only she can see it.","Featuring wooden performances and minimal scares, The Eye is another tedious remake of an Asian horror film.",PG-13,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud","Sebastian Gutierrez, Hillary Seitz","Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija, Fernanda Romero, Rachel Ticotin, Obba Babatundé, Danny Mora, Chloë Grace Moretz, Brett Haworth, Kevin K. Shah, Tamlyn Tomita, Esodie Geiger, Karen Austin, Ryan J. Pezdirc, Brett O'Mara, Landall Goolsby, Sarah E. Baker, Laura Slowinski, Richard Redlefsen, Amanda Shamis, Kisha Sierra, Mark Bankins, David Milchard, Kimani Ray Smith, Heather Doerksen, Peter King, Tegan Moss, Kam Hing Chau, Jasmin Dring, James Spencer, Ingrid M. Nelson, Daniel Romero, Zak Santiago, Juan Carlos Cantu, Mike Elliott, Mia Stallard, Jane E. Goold, Tone Forrest, Danielle Lozeau",2008-02-01,2016-11-09,97.0,Lionsgate Films,Rotten,21.0,80.0,Spilled,43.0,303458.0,13,17,63
